33.2	8.33	12.83	378	    35.8	4.2	0.012	5.18
32.6	8.11	8.48	384.9	32.7	3.9	0.017	5.16
32.6	8.21	9.21	389.2	21.5	4.7	0.021	5.43
34.2	8.93	14.23	394.2	33.8	3.1	0.023	5.22
33.8	8.77	12.9	399.9	34.7	2.9	0.01	5.3
33.1	8.68	11.84	404.6	19.5	2.8	0.008	5.31
32.9	8.64	10.56	413.2	15.3	3.2	0.01	5.46
33.9	8.8	    12.45	412.3	15.5	4.2	0.035	5.14
34	    9.02	14.45	403.5	18.1	3.3	0.02	5.42
34.9	8.98	14.08	382.8	20	    3	0.015	5.27
34.2	8.83	12.34	379.7	15.5	2.9	0.008	5.22
33.4	8.57	12.28	390.2	14.6	2.9	0.007	5.22
33.2	8.57	11.8	399.2	15.8	3.3	0.011	5.47
33.8	8.94	13.53	400.5	19.3	3.9	0.011	5.39
34.2	8.97	13.04	398.2	22.5	4.7	0.006	5.33
34.8	9.05	14.34	377.6	22.2	3.1	0.007	5.34
34.2	8.93	14.26	372.9	24.9	2.9	0.007	5.38
33.4	8.72	12.64	379.8	20.3	2.8	0.003	5.38
33.3	8.68	12.71	390.2	25.6	3.2	0.008	5.52
34.3	9.1	    14.93	390.6	23.8	4.2	0.009	5.57
33.8	8.79	12.89	402.3	24	    3.3	0.009	5.46
32.6	8.23	9.66	429.9	24	    3	0.01	5.59
31.8	7.69	7.31	445.1	24.2	2.9	0.024	5.46
23.8	7.84	7.38	688.2	17.7	5	0.031	2.64
23.6	8.04	8.64	688.7	14.9	4.8	0.025	2.73
23.5	7.95	8.23	689.3	14	    4.7	0.019	2.75
23.7	8.21	9.62	688.4	14.5	6.1	0.031	3
24.1	8.32	10.07	687.8	13.6	5.3	0.02	2.76
24.3	8.71	12.31	675	    16.5	6.8	0.024	2.93
23.6	8.03	9.05	685.5	17.7	6.3	0.031	2.96
23.4	7.9	    7.77	690.9	15	    4.5	0.022	2.81
23.2	7.8	    7.05	693.2	14.3	4.3	0.016	2.75
23.4	7.99	8.22	692.5	15.3	5.1	0.026	2.89
23.6	7.94	7.9	    691.6	15.1	4.4	0.016	2.64
23.5	7.86	7.34	691.1	13.6	4.3	0.017	2.63
23.1	7.86	7.36	692	15	4.2	    0.018	    2.63
22.9	8.01	8.1	    691.3	15.3	4.2	0.016	2.69
22.8	8.21	9.11	688.3	15.9	4.2	0.019	2.67
23.7	8.53	10.82	687.5	11.8	5.1	0.017	2.79
24.3	8.86	12.73	676	17.6	8.2	0.038	2.95
23.6	8.72	11.77	680.1	17.4	5.9	0.029	2.77
23	8.56	10.7	684.3	20.1	5.7	0.029	2.74
22.4	8.44	9.99	686	18.2	5.2	0.021	2.71
21.7	8.26	8.99	688.1	16.7	4.8	0.022	2.72
22.6	8.5	10.64	688.5	16.3	6.2	0.024	2.95
24.1	8.93	12.86	678.7	15.5	6.1	0.024	2.65
23.5	8.97	13.34	673.6	16.2	6	0.021	2.67
22.5	8.71	11.21	681.5	16.2	5	0.018	2.58
21.5	8.52	10.19	684.8	18	4.9	0.02	2.59
21.4	8.4	9.75	688.9	15.7	5.4	0.022	2.78
22.9	8.86	12.67	683.1	16.1	6.4	0.026	2.71
23.4	9.04	13.79	671.1	17.3	6	0.024	2.56
22.4	8.9	12.58	676.6	15.7	5.5	0.019	2.54
21.7	8.63	10.71	683.8	18.6	5.5	0.02	2.58
21	8.57	10.12	685	20.4	5.1	0.021	2.51
20.9	8.53	9.98	686.9	17.9	5.3	0.019	2.6
23.5	8.79	11.58	688.2	13	4.6	0.013	2.37
22	9.1	14.29	666.3	20.1	7.6	0.028	2.57
22	8.97	13.83	670.4	17.4	5.1	0.02	2.47
21.5	8.8	12.77	667.8	17.1	4.9	0.014	2.42
21.1	8.63	11.58	671	21.6	5.8	0.021	2.45
20.8	8.6	11.33	672.1	22.6	5.4	0.02	2.45
22	8.95	13.22	671.2	17	5	0.014	2.39
21.5	9.02	14.21	658.9	20.6	6.4	0.02	2.41
21.5	8.82	12.81	662.9	19.5	5.4	0.016	2.35
21.9	8.82	13.04	656.6	20.6	5.1	0.014	2.28
21.5	8.81	12.84	657	19.1	4.4	0.013	2.25
21.2	8.73	12.14	662.1	20.4	4.6	0.014	2.34
22	8.91	13.22	658.7	20.1	4.9	0.017	2.19
21.9	8.83	12.28	658.1	20.9	5	0.018	2.11
21.8	8.79	12.13	658.1	19.8	4.6	0.013	2.22
21.6	8.8	12.53	653.4	19.9	4.6	0.013	2.19
21.1	8.67	11.6	657.1	22.5	4.7	0.018	2.25
20.8	8.65	11.56	657.1	21.5	4.7	0.018	2.26
